model,benchmark,category,template,count,denominator,percentage
Goedel-8B,ProofNet,Tactic failure,omega could not prove the goal:,625,27703,2.256073
Goedel-8B,ProofNet,Syntax error,expected token,567,27703,2.046710
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, did not find the pattern in the target expression",504,27703,1.819298
Goedel-8B,ProofNet,Type mismatch,"invalid field notation, type is not of the form (C ...) where C is a constant",481,27703,1.736274
Goedel-8B,ProofNet,Syntax error,unexpected identifier; expected command,464,27703,1.674909
Goedel-8B,ProofNet,Type mismatch,function expected at 'ID',418,27703,1.508862
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, equality or iff proof expected",371,27703,1.339205
Goedel-8B,ProofNet,Unresolved name,"overloaded, errors",326,27703,1.176768
Goedel-8B,ProofNet,Syntax error,unexpected token 'TOKEN'; expected command,314,27703,1.133451
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, nested error",245,27703,0.884381
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, failed to unify",240,27703,0.866332
Goedel-8B,ProofNet,Unresolved name,"ambiguous, possible interpretations",237,27703,0.855503
Goedel-8B,ProofNet,Tactic failure,no goals to be solved,196,27703,0.707505
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, insufficient number of binders",188,27703,0.678627
Goedel-8B,ProofNet,Type mismatch,"invalid constructor ⟨...⟩, expected type must be an inductive type",184,27703,0.664188
Goedel-8B,ProofNet,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or identifier,130,27703,0.469263
Goedel-8B,ProofNet,Tactic failure,tactic 'ID' failed,128,27703,0.462044
Goedel-8B,ProofNet,Type mismatch,"invalid constructor ⟨...⟩, insufficient number of arguments for 'ID'",121,27703,0.436776
Goedel-8B,ProofNet,Tactic failure,rcases tactic failed: 'ID' is not an inductive datatype,92,27703,0.332094
Goedel-8B,ProofNet,Type mismatch,invalid argument: variable 'ID' is not a proposition or let-declaration,77,27703,0.277948
Goedel-8B,ProofNet,Tactic failure,tauto failed to solve some goals.,68,27703,0.245461
Goedel-8B,ProofNet,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN',55,27703,0.198534
Goedel-8B,ProofNet,Tactic failure,"aesop: error in norm simp: tactic 'ID' failed, nested error",51,27703,0.184096
Goedel-8B,ProofNet,Missing instance,"typeclass instance problem is stuck, it is often due to metavariables",45,27703,0.162437
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, possible reasons",43,27703,0.155218
Goedel-8B,ProofNet,Missing instance,type class instance expected,40,27703,0.144389
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, motive is not type correct",30,27703,0.108292
Goedel-8B,ProofNet,Type mismatch,"type expected, got",25,27703,0.090243
Goedel-8B,ProofNet,Tactic failure,tactic 'ID' proved that the proposition,20,27703,0.072194
Goedel-8B,ProofNet,Type mismatch,"invalid projection, structure expected",20,27703,0.072194
Goedel-8B,ProofNet,Tactic failure,interval_cases failed: unsupported type 'TYPE',19,27703,0.068585
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, major premise type is not an inductive type",19,27703,0.068585
Goedel-8B,ProofNet,Tactic failure,tactic 'ID' failed for proposition,18,27703,0.064975
Goedel-8B,ProofNet,Type mismatch,"numerals are data in Lean, but the expected type is a proposition",18,27703,0.064975
Goedel-8B,ProofNet,Tactic failure,"failed to prove strict positivity, but it would be possible to prove nonnegativity if desired",17,27703,0.061365
Goedel-8B,ProofNet,Type mismatch,mod_cast has type,17,27703,0.061365
Goedel-8B,ProofNet,Resource exhaustion,maximum recursion depth has been reached,16,27703,0.057755
Goedel-8B,ProofNet,Tactic failure,expected 'ID' or indented tactic sequence,15,27703,0.054146
Goedel-8B,ProofNet,Unresolved name,"ambiguous term, use fully qualified name, possible interpretations ['ID']",15,27703,0.054146
Goedel-8B,ProofNet,Tactic failure,"invalid 'ID', proposition expected",13,27703,0.046926
Goedel-8B,ProofNet,Type mismatch,"invalid field notation, function 'ID' does not have an argument with the required receiver type",12,27703,0.043317
Goedel-8B,ProofNet,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN' or 'TOKEN'",11,27703,0.039707
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, no applicable constructor found",11,27703,0.039707
Goedel-8B,ProofNet,Tactic failure,alternative 'ID' has not been provided,10,27703,0.036097
Goedel-8B,ProofNet,Missing instance,"invalid 'TYPE' step, failed to synthesize 'TYPE' instance",9,27703,0.032487
Goedel-8B,ProofNet,Tactic failure,"'ID' tactic failed, has type",9,27703,0.032487
Goedel-8B,ProofNet,Tactic failure,failed to prove positivity/nonnegativity/nonzeroness,9,27703,0.032487
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, 'ID' is not an inductive datatype",9,27703,0.032487
Goedel-8B,ProofNet,Type mismatch,expected type must not contain free or meta variables,9,27703,0.032487
Goedel-8B,ProofNet,Type mismatch,invalid argument name 'ID' for function 'ID',9,27703,0.032487
Goedel-8B,ProofNet,Unresolved name,'ID' is not a field of structure 'ID',9,27703,0.032487
Goedel-8B,ProofNet,Tactic failure,rcases tactic failed: 'TERM',8,27703,0.028878
Goedel-8B,ProofNet,Type mismatch,stuck at solving universe constraint,8,27703,0.028878
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, invalid equality proof, it is not of the form (x = t) or (t = x)",7,27703,0.025268
Goedel-8B,ProofNet,Type mismatch,don't know how to synthesize implicit argument 'ID',7,27703,0.025268
Goedel-8B,ProofNet,Missing instance,aesop: error in norm simp: failed to synthesize,6,27703,0.021658
Goedel-8B,ProofNet,Syntax error,unexpected token 'TOKEN'; expected term,6,27703,0.021658
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, result is not type correct",6,27703,0.021658
Goedel-8B,ProofNet,Syntax error,unexpected identifier; expected 'TOKEN',5,27703,0.018049
Goedel-8B,ProofNet,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or 'TOKEN',5,27703,0.018049
Goedel-8B,ProofNet,Tactic failure,"extensionality tactic only applies to equalities, not 'TYPE'",5,27703,0.018049
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, no if-then-else conditions to split",5,27703,0.018049
Goedel-8B,ProofNet,Type mismatch,failed to infer 'ID' declaration type,5,27703,0.018049
Goedel-8B,ProofNet,Type mismatch,"invalid constructor ⟨...⟩, expected type must be an inductive type with only one constructor",5,27703,0.018049
Goedel-8B,ProofNet,Syntax error,unexpected end of input; expected 'TOKEN',4,27703,0.014439
Goedel-8B,ProofNet,Tactic failure,case tag 'ID' not found,4,27703,0.014439
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, did not find equation for eliminating 'ID'",4,27703,0.014439
Goedel-8B,ProofNet,Type mismatch,"invalid 'ID' step, left-hand side is",4,27703,0.014439
Goedel-8B,ProofNet,Type mismatch,type mismatch when assigning motive,4,27703,0.014439
Goedel-8B,ProofNet,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or tactic,3,27703,0.010829
Goedel-8B,ProofNet,Type mismatch,"failed to elaborate eliminator, expected type is not available",3,27703,0.010829
Goedel-8B,ProofNet,Type mismatch,"invalid constructor ⟨...⟩, expected type must be known",3,27703,0.010829
Goedel-8B,ProofNet,Missing instance,choose!: failed to synthesize any nonempty instances 'TYPE',2,27703,0.007219
Goedel-8B,ProofNet,Syntax error,"unexpected identifier; expected 'TOKEN', 'TOKEN' or 'TOKEN'",2,27703,0.007219
Goedel-8B,ProofNet,Tactic failure,aesop: internal error: extracted proof has metavariables.,2,27703,0.007219
Goedel-8B,ProofNet,Tactic failure,failed to rewrite using equation theorems for 'ID',2,27703,0.007219
Goedel-8B,ProofNet,Tactic failure,interval_cases failed: could not find lower bound on 'TERM',2,27703,0.007219
Goedel-8B,ProofNet,Tactic failure,invalid alternative name 'ID',2,27703,0.007219
Goedel-8B,ProofNet,Tactic failure,no applicable extensionality theorem found for 'TYPE',2,27703,0.007219
Goedel-8B,ProofNet,Tactic failure,not a positivity goal,2,27703,0.007219
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, 'TERM'",2,27703,0.007219
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, failed to prove the goal",2,27703,0.007219
Goedel-8B,ProofNet,Tactic failure,too many arguments supplied to 'ID',2,27703,0.007219
Goedel-8B,ProofNet,Termination failure,fail to show termination for,2,27703,0.007219
Goedel-8B,ProofNet,Type mismatch,"invalid 'ID' notation, expected result type of cast is",2,27703,0.007219
Goedel-8B,ProofNet,Type mismatch,"invalid 'ID' notation, the equality",2,27703,0.007219
Goedel-8B,ProofNet,Type mismatch,"invalid projection, structure has only NUM field(s)",2,27703,0.007219
Goedel-8B,ProofNet,Type mismatch,unknown metavariable 'ID',2,27703,0.007219
Goedel-8B,ProofNet,Unresolved name,unknown universe level 'ID',2,27703,0.007219
Goedel-8B,ProofNet,Syntax error,expected no space before,1,27703,0.003610
Goedel-8B,ProofNet,Syntax error,missing end of character literal,1,27703,0.003610
Goedel-8B,ProofNet,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN'",1,27703,0.003610
Goedel-8B,ProofNet,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN' or identifier",1,27703,0.003610
Goedel-8B,ProofNet,Syntax error,unexpected type ascription,1,27703,0.003610
Goedel-8B,ProofNet,Tactic failure,"failed to prove nonnegativity, but it would be possible to prove nonzeroness if desired",1,27703,0.003610
Goedel-8B,ProofNet,Tactic failure,"failed to prove strict positivity, but it would be possible to prove nonzeroness if desired",1,27703,0.003610
Goedel-8B,ProofNet,Tactic failure,gcongr did not make progress,1,27703,0.003610
Goedel-8B,ProofNet,Tactic failure,"tactic 'ID' failed, pattern is a metavariable",1,27703,0.003610
Goedel-8B,ProofNet,Tactic failure,"tactic failed, resulting expression contains metavariables",1,27703,0.003610
Goedel-8B,ProofNet,Tactic failure,unused alternative 'ID',1,27703,0.003610
Goedel-8B,ProofNet,Type mismatch,failed to create binder due to failure when reverting variable dependencies,1,27703,0.003610
Goedel-8B,ProofNet,Type mismatch,failed to solve universe constraint,1,27703,0.003610
Goedel-8B,ProofNet,Type mismatch,"invalid occurrence of universe level 'ID' at 'ID', it does not occur at the declaration type, nor it is explicit universe level provided by the user, occurring at expression",1,27703,0.003610
Goedel-8B,ProofNet,Type mismatch,"invalid pattern variable 'ID', must be atomic",1,27703,0.003610
Goedel-8B,Putnam,Resource exhaustion,"(deterministic) timeout at 'ID', maximum number of heartbeats (NUM) has been reached",22420,106831,20.986418
Goedel-8B,Putnam,Unsolved goals,unsolved goals,21310,106831,19.947394
Goedel-8B,Putnam,Missing instance,failed to synthesize,7648,106831,7.158971
Goedel-8B,Putnam,Unresolved name,unknown identifier 'ID',7626,106831,7.138377
Goedel-8B,Putnam,Tactic failure,linarith failed to find a contradiction,7193,106831,6.733064
Goedel-8B,Putnam,Type mismatch,type mismatch,5994,106831,5.610731
Goedel-8B,Putnam,Type mismatch,application type mismatch,3848,106831,3.601951
Goedel-8B,Putnam,Tactic failure,tactic 'ID' made no progress,3132,106831,2.931733
Goedel-8B,Putnam,Unresolved name,unknown constant 'ID',3048,106831,2.853104
Goedel-8B,Putnam,Tactic failure,omega could not prove the goal:,2993,106831,2.801621
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, nested error",2928,106831,2.740777
Goedel-8B,Putnam,Resource exhaustion,"resource exhausted (error code: NUM, cannot allocate memory)",2799,106831,2.620026
Goedel-8B,Putnam,Type mismatch,"invalid field notation, type is not of the form (C ...) where C is a constant",1836,106831,1.718602
Goedel-8B,Putnam,Syntax error,unexpected identifier; expected command,1621,106831,1.517350
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, did not find the pattern in the target expression",1612,106831,1.508925
Goedel-8B,Putnam,Unresolved name,"invalid field 'ID', the environment does not contain 'ID'",1177,106831,1.101740
Goedel-8B,Putnam,Type mismatch,"invalid projection, structure expected",950,106831,0.889255
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, failed to unify",938,106831,0.878022
Goedel-8B,Putnam,Type mismatch,function expected at 'ID',699,106831,0.654304
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, equality or iff proof expected",622,106831,0.582228
Goedel-8B,Putnam,Type mismatch,"invalid constructor ⟨...⟩, expected type must be an inductive type",552,106831,0.516704
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, possible reasons",523,106831,0.489558
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, insufficient number of binders",507,106831,0.474581
Goedel-8B,Putnam,Tactic failure,no goals to be solved,382,106831,0.357574
Goedel-8B,Putnam,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN',299,106831,0.279881
Goedel-8B,Putnam,Syntax error,unexpected token 'TOKEN'; expected command,290,106831,0.271457
Goedel-8B,Putnam,Tactic failure,tactic 'ID' failed,282,106831,0.263968
Goedel-8B,Putnam,Unresolved name,"overloaded, errors",263,106831,0.246183
Goedel-8B,Putnam,Tactic failure,tauto failed to solve some goals.,250,106831,0.234014
Goedel-8B,Putnam,Type mismatch,"invalid constructor ⟨...⟩, expected type must be an inductive type with only one constructor",159,106831,0.148833
Goedel-8B,Putnam,Tactic failure,"aesop: error in norm simp: tactic 'ID' failed, nested error",147,106831,0.137601
Goedel-8B,Putnam,Resource exhaustion,maximum recursion depth has been reached,143,106831,0.133856
Goedel-8B,Putnam,Type mismatch,invalid argument: variable 'ID' is not a proposition or let-declaration,142,106831,0.132920
Goedel-8B,Putnam,Type mismatch,mod_cast has type,139,106831,0.130112
Goedel-8B,Putnam,Tactic failure,rcases tactic failed: 'ID' is not an inductive datatype,133,106831,0.124496
Goedel-8B,Putnam,Type mismatch,"numerals are data in Lean, but the expected type is a proposition",125,106831,0.117007
Goedel-8B,Putnam,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN' or 'TOKEN'",100,106831,0.093606
Goedel-8B,Putnam,Missing instance,"typeclass instance problem is stuck, it is often due to metavariables",98,106831,0.091734
Goedel-8B,Putnam,Type mismatch,"invalid field notation, function 'ID' does not have an argument with the required receiver type",96,106831,0.089862
Goedel-8B,Putnam,Tactic failure,tactic 'ID' failed for proposition,93,106831,0.087053
Goedel-8B,Putnam,Tactic failure,couldn't rearrange comparison 'TERM',87,106831,0.081437
Goedel-8B,Putnam,Type mismatch,unexpected bound variable #NUM,83,106831,0.077693
Goedel-8B,Putnam,Type mismatch,"type expected, got",75,106831,0.070204
Goedel-8B,Putnam,Type mismatch,stuck at solving universe constraint,67,106831,0.062716
Goedel-8B,Putnam,Syntax error,expected token,63,106831,0.058972
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, 'ID' is not an inductive datatype",62,106831,0.058036
Goedel-8B,Putnam,Tactic failure,"failed to prove strict positivity, but it would be possible to prove nonnegativity if desired",59,106831,0.055227
Goedel-8B,Putnam,Tactic failure,not a positivity goal,58,106831,0.054291
Goedel-8B,Putnam,Tactic failure,failed to prove positivity/nonnegativity/nonzeroness,56,106831,0.052419
Goedel-8B,Putnam,Tactic failure,expected 'ID' or indented tactic sequence,54,106831,0.050547
Goedel-8B,Putnam,Unresolved name,"ambiguous, possible interpretations",53,106831,0.049611
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, invalid equality proof, it is not of the form (x = t) or (t = x)",46,106831,0.043059
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, major premise type is not an inductive type",44,106831,0.041187
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, motive is not type correct",44,106831,0.041187
Goedel-8B,Putnam,Type mismatch,"invalid projection, the expression",43,106831,0.040250
Goedel-8B,Putnam,Tactic failure,"ring failed, ring expressions not equal",40,106831,0.037442
Goedel-8B,Putnam,Tactic failure,no applicable extensionality theorem found for 'TYPE',36,106831,0.033698
Goedel-8B,Putnam,Syntax error,unexpected token 'TOKEN'; expected term,35,106831,0.032762
Goedel-8B,Putnam,Tactic failure,tactic 'ID' proved that the proposition,34,106831,0.031826
Goedel-8B,Putnam,Type mismatch,"invalid constructor ⟨...⟩, insufficient number of arguments for 'ID'",34,106831,0.031826
Goedel-8B,Putnam,Tactic failure,"'ID' tactic failed, has type",32,106831,0.029954
Goedel-8B,Putnam,Type mismatch,expected type must not contain free or meta variables,32,106831,0.029954
Goedel-8B,Putnam,Type mismatch,"invalid constructor ⟨...⟩, expected type must be known",31,106831,0.029018
Goedel-8B,Putnam,Type mismatch,"invalid 'ID' step, left-hand side is",21,106831,0.019657
Goedel-8B,Putnam,Missing instance,"invalid 'TYPE' step, failed to synthesize 'TYPE' instance",19,106831,0.017785
Goedel-8B,Putnam,Syntax error,unexpected token 'TOKEN'; expected identifier,19,106831,0.017785
Goedel-8B,Putnam,Syntax error,"unexpected identifier; expected 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN' or 'TOKEN'",18,106831,0.016849
Goedel-8B,Putnam,Tactic failure,alternative 'ID' has not been provided,18,106831,0.016849
Goedel-8B,Putnam,Tactic failure,rcases tactic failed: 'TERM',18,106831,0.016849
Goedel-8B,Putnam,Tactic failure,too many arguments supplied to 'ID',18,106831,0.016849
Goedel-8B,Putnam,Syntax error,unexpected identifier; expected 'TOKEN',15,106831,0.014041
Goedel-8B,Putnam,Tactic failure,interval_cases failed: could not find upper bound on 'TERM',15,106831,0.014041
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, failed to prove the goal",15,106831,0.014041
Goedel-8B,Putnam,Syntax error,unexpected type ascription,14,106831,0.013105
Goedel-8B,Putnam,Tactic failure,index in target's type is not a variable (consider using the 'ID' tactic instead),14,106831,0.013105
Goedel-8B,Putnam,Tactic failure,invalid alternative name 'ID',13,106831,0.012169
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, no if-then-else conditions to split",13,106831,0.012169
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, pattern is a metavariable",13,106831,0.012169
Goedel-8B,Putnam,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or 'TOKEN',12,106831,0.011233
Goedel-8B,Putnam,Missing instance,type class instance expected,11,106831,0.010297
Goedel-8B,Putnam,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or identifier,11,106831,0.010297
Goedel-8B,Putnam,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or tactic,11,106831,0.010297
Goedel-8B,Putnam,Type mismatch,don't know how to synthesize implicit argument 'ID',11,106831,0.010297
Goedel-8B,Putnam,Syntax error,unexpected syntax,10,106831,0.009361
Goedel-8B,Putnam,Tactic failure,failed to rewrite using equation theorems for 'ID',10,106831,0.009361
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, no applicable constructor found",10,106831,0.009361
Goedel-8B,Putnam,Type mismatch,unexpected relation type,10,106831,0.009361
Goedel-8B,Putnam,Unresolved name,"ambiguous term, use fully qualified name, possible interpretations ['ID']",10,106831,0.009361
Goedel-8B,Putnam,Tactic failure,"extensionality tactic only applies to equalities, not 'TYPE'",9,106831,0.008425
Goedel-8B,Putnam,Tactic failure,"failed to prove strict positivity, but it would be possible to prove nonzeroness if desired",9,106831,0.008425
Goedel-8B,Putnam,Tactic failure,"invalid 'ID', proposition expected",9,106831,0.008425
Goedel-8B,Putnam,Syntax error,"unexpected identifier; expected 'TOKEN', 'TOKEN' or 'TOKEN'",7,106831,0.006552
Goedel-8B,Putnam,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN' or term",7,106831,0.006552
Goedel-8B,Putnam,Tactic failure,interval_cases failed: unsupported type 'TYPE',7,106831,0.006552
Goedel-8B,Putnam,Type mismatch,"invalid occurrence of universe level 'ID' at 'ID', it does not occur at the declaration type, nor it is explicit universe level provided by the user, occurring at expression",7,106831,0.006552
Goedel-8B,Putnam,Resource exhaustion,(kernel) deterministic timeout,6,106831,0.005616
Goedel-8B,Putnam,Tactic failure,aesop: internal error: extracted proof has metavariables.,6,106831,0.005616
Goedel-8B,Putnam,Tactic failure,case tag 'ID' not found,6,106831,0.005616
Goedel-8B,Putnam,Syntax error,unexpected end of input; expected 'TOKEN',5,106831,0.004680
Goedel-8B,Putnam,Tactic failure,interval_cases failed: could not find lower bound on 'TERM',5,106831,0.004680
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, did not find equation for eliminating 'ID'",5,106831,0.004680
Goedel-8B,Putnam,Type mismatch,invalid argument name 'ID' for function 'ID',5,106831,0.004680
Goedel-8B,Putnam,Type mismatch,"invalid field notation, identifier or numeral expected",5,106831,0.004680
Goedel-8B,Putnam,Type mismatch,invalid pattern: constructor or constant marked with 'ID' expected,5,106831,0.004680
Goedel-8B,Putnam,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN', 'TOKEN' or 'TOKEN'",4,106831,0.003744
Goedel-8B,Putnam,Tactic failure,aesop: exceeded maximum number of normalisation iterations (NUM). This means normalisation probably got stuck in an infinite loop.,4,106831,0.003744
Goedel-8B,Putnam,Tactic failure,"tactic failed, resulting expression contains metavariables",4,106831,0.003744
Goedel-8B,Putnam,Termination failure,fail to show termination for,4,106831,0.003744
Goedel-8B,Putnam,Type mismatch,failed to infer 'ID' declaration type,4,106831,0.003744
Goedel-8B,Putnam,Type mismatch,failed to infer binder type,4,106831,0.003744
Goedel-8B,Putnam,Unresolved name,unknown universe level 'ID',4,106831,0.003744
Goedel-8B,Putnam,Syntax error,unexpected end of input,3,106831,0.002808
Goedel-8B,Putnam,Tactic failure,'ID' requires a term of the form 'ID' where 'ID' appears in the local context,3,106831,0.002808
Goedel-8B,Putnam,Tactic failure,target (or one of its indices) occurs more than once,3,106831,0.002808
Goedel-8B,Putnam,Tactic failure,unexpected term 'ID'; expected single reference to variable,3,106831,0.002808
Goedel-8B,Putnam,Type mismatch,don't know how to synthesize placeholder for argument 'ID',3,106831,0.002808
Goedel-8B,Putnam,Type mismatch,type mismatch when assigning motive,3,106831,0.002808
Goedel-8B,Putnam,Syntax error,expected interpolated string,2,106831,0.001872
Goedel-8B,Putnam,Syntax error,expected no space before,2,106831,0.001872
Goedel-8B,Putnam,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN', 'TOKEN' or tactic",2,106831,0.001872
Goedel-8B,Putnam,Tactic failure,"aesop: error in norm simp: simp failed, maximum number of steps exceeded",2,106831,0.001872
Goedel-8B,Putnam,Tactic failure,aesop: error while running norm rule norm|constructors|global|ULift: rule produced more than one subgoal.,2,106831,0.001872
Goedel-8B,Putnam,Tactic failure,argument passed to linarith has metavariables:,2,106831,0.001872
Goedel-8B,Putnam,Tactic failure,argument passed to nlinarith has metavariables:,2,106831,0.001872
Goedel-8B,Putnam,Tactic failure,"dependent elimination failed, failed to solve equation",2,106831,0.001872
Goedel-8B,Putnam,Tactic failure,gcongr did not make progress,2,106831,0.001872
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, requires an inductive type with NUM constructors",2,106831,0.001872
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, result is not type correct",2,106831,0.001872
Goedel-8B,Putnam,Type mismatch,the 'ID' notation should not be used with more than one binder.,2,106831,0.001872
Goedel-8B,Putnam,Unresolved name,'ID' has already been declared,2,106831,0.001872
Goedel-8B,Putnam,Unresolved name,unknown tactic 'ID',2,106831,0.001872
Goedel-8B,Putnam,Missing instance,aesop: error in norm simp: failed to synthesize,1,106831,0.000936
Goedel-8B,Putnam,Syntax error,expected 'TOKEN' or line break,1,106831,0.000936
Goedel-8B,Putnam,Syntax error,"invalid 'TOKEN', insufficient scopes",1,106831,0.000936
Goedel-8B,Putnam,Syntax error,missing end of character literal,1,106831,0.000936
Goedel-8B,Putnam,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN'",1,106831,0.000936
Goedel-8B,Putnam,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN' or identifier",1,106831,0.000936
Goedel-8B,Putnam,Tactic failure,not enough tactics,1,106831,0.000936
Goedel-8B,Putnam,Tactic failure,redundant alternative,1,106831,0.000936
Goedel-8B,Putnam,Tactic failure,"tactic 'ID' failed, 'TERM'",1,106831,0.000936
Goedel-8B,Putnam,Tactic failure,too many variable names provided,1,106831,0.000936
Goedel-8B,Putnam,Type mismatch,"failed to prove index is valid, possible solutions:",1,106831,0.000936
Goedel-8B,Putnam,Type mismatch,failed to solve universe constraint,1,106831,0.000936
Goedel-8B,Putnam,Type mismatch,"invalid 'ID' notation, argument",1,106831,0.000936
Goedel-8B,Putnam,Type mismatch,"invalid occurrence of 'ID' notation, it must be surrounded by parentheses (e.g. 'ID')",1,106831,0.000936
Goedel-8B,Putnam,Type mismatch,invalid patterns: 'ID' occurs only in positions inaccessible to pattern matching,1,106831,0.000936
Goedel-8B,Putnam,Type mismatch,"invalid projection, structure has only NUM field(s)",1,106831,0.000936
Goedel-8B,Putnam,Type mismatch,"numerals are data in Lean, but the expected type is universe polymorphic and may be a proposition",1,106831,0.000936
Goedel-8B,Putnam,Type mismatch,target,1,106831,0.000936
Goedel-8B,Putnam,Type mismatch,unknown metavariable 'ID',1,106831,0.000936
Goedel-8B,Putnam,Unresolved name,'ID' is not a field of structure 'ID',1,106831,0.000936
Goedel-8B,miniF2F,Unsolved goals,unsolved goals,2734,7815,34.984005
Goedel-8B,miniF2F,Tactic failure,linarith failed to find a contradiction,1550,7815,19.833653
Goedel-8B,miniF2F,Tactic failure,omega could not prove the goal:,980,7815,12.539987
Goedel-8B,miniF2F,Type mismatch,type mismatch,657,7815,8.406910
Goedel-8B,miniF2F,Tactic failure,"tactic 'ID' failed, did not find the pattern in the target expression",262,7815,3.352527
Goedel-8B,miniF2F,Missing instance,failed to synthesize,258,7815,3.301344
Goedel-8B,miniF2F,Unresolved name,unknown identifier 'ID',234,7815,2.994242
Goedel-8B,miniF2F,Tactic failure,tactic 'ID' made no progress,183,7815,2.341651
Goedel-8B,miniF2F,Type mismatch,application type mismatch,99,7815,1.266795
Goedel-8B,miniF2F,Unresolved name,unknown constant 'ID',92,7815,1.177223
Goedel-8B,miniF2F,Tactic failure,"tactic 'ID' failed, equality or iff proof expected",85,7815,1.087652
Goedel-8B,miniF2F,Tactic failure,"tactic 'ID' failed, failed to unify",84,7815,1.074856
Goedel-8B,miniF2F,Tactic failure,"tactic 'ID' failed, nested error",79,7815,1.010877
Goedel-8B,miniF2F,Syntax error,unexpected identifier; expected command,66,7815,0.844530
Goedel-8B,miniF2F,Tactic failure,tactic 'ID' failed,57,7815,0.729367
Goedel-8B,miniF2F,Tactic failure,"tactic 'ID' failed, possible reasons",57,7815,0.729367
Goedel-8B,miniF2F,Unresolved name,"invalid field 'ID', the environment does not contain 'ID'",57,7815,0.729367
Goedel-8B,miniF2F,Resource exhaustion,maximum recursion depth has been reached,44,7815,0.563020
Goedel-8B,miniF2F,Tactic failure,no goals to be solved,29,7815,0.371081
Goedel-8B,miniF2F,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN',27,7815,0.345489
Goedel-8B,miniF2F,Type mismatch,mod_cast has type,18,7815,0.230326
Goedel-8B,miniF2F,Syntax error,unexpected token 'TOKEN'; expected command,16,7815,0.204734
Goedel-8B,miniF2F,Tactic failure,interval_cases failed: unsupported type 'TYPE',12,7815,0.153551
Goedel-8B,miniF2F,Type mismatch,function expected at 'ID',12,7815,0.153551
